Question,Response,Category
What do you suggest for therapy info?,Seeking professional help is a sign of strength.,therapy_info
What do you suggest for therapy info?,Seeking professional help is a sign of strength.,therapy_info
What do you suggest for therapy info?,Seeking professional help is a sign of strength.,therapy_info
What do you suggest for therapy info?,Seeking professional help is a sign of strength.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for therapy info?,Seeking professional help is a sign of strength.,therapy_info
What do you suggest for therapy info?,Seeking professional help is a sign of strength.,therapy_info
What do you suggest for therapy info?,Seeking professional help is a sign of strength.,therapy_info
What do you suggest for therapy info?,Seeking professional help is a sign of strength.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for therapy info?,Therapy can be beneficial for mental well-being.,therapy_info
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,Regular movement can reduce symptoms of depression.,exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for exercise benefits?,"Exercise releases endorphins, improving mood.",exercise_benefits
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Progressive muscle relaxation can help ease tension.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for relaxation techniques?,Meditation can bring a sense of peace.,relaxation_techniques
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Self-care is essential for mental health.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for self care?,Take time to rest and recharge.,self_care
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Setting boundaries is a form of self-care.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for mental health tips?,Prioritize sleep and hydration for better well-being.,mental_health_tips
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Mental health professionals can provide guidance.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for professional help?,Reaching out to a therapist can be helpful.,professional_help
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,Check out mental health hotlines in your area.,resources
What do you suggest for resources?,There are great books on self-improvement and well-being.,resources
